ID,Title,URL,Challenges,Benefits
SBOM27,Building resilient medical technology supply chains with a software bill of materials,https://www.nature.com/articles/s41746-021-00403-w,,v
SBOM28,Buying down risk: Software provenance and composition,atlanticcouncil.org/content-series/buying-down-risk/software-prov-and-comp/,v,v
SBOM29,The Benefits and Challenges of Reporting vs. Remediation with SBOMs,https://www.mend.io/resources/blog/reporting-vs-remediation-sbom/,v,v
SBOM30,Why SBOM management is no longer optional,https://www.infoworld.com/article/3645452/why-sbom-management-is-no-longer-optional.html,v,
SBOM31,A software bill of materials (SBOM): What it is — and why it matters for software supply chain security,https://securityboulevard.com/2022/10/a-software-bill-of-materials-sbom-what-it-is-and-why-it-matters-for-software-supply-chain-security/,v,
SBOM32,What is a Software Bill of Materials (SBOM)? A Deep Dive,https://scribesecurity.com/sbom/,v,v
SBOM33,Why The US Government Is Mandating Software Bill Of Materials (SBOM),https://www.activestate.com/blog/why-the-us-government-is-mandating-software-bill-of-materials-sbom/,,v
SBOM38,SBOMs Are Great for Supply Chain Security but Buyers Beware,https://thenewstack.io/sboms-are-great-for-supply-chain-security-but-buyers-beware/,v,v
SBOM39,"What is a software bill of materials, and why is it important for security?",https://www.guardrails.io/blog/what-is-a-software-bill-of-materials-and-why-is-it-important-for-security/,v,v
SBOM40,Understanding the SBOM Market Collision,https://accelerationeconomy.com/cybersecurity/understanding-the-sbom-market-collision/,v,
SBOM41,"Prepping up for 2022, as OT industry focuses on federal government regulations, SBOMs",https://industrialcyber.co/threats-attacks/prepping-up-for-2022-as-ot-industry-focuses-on-federal-government-regulations-sboms/,v,v
SBOM42,Software Bill of Materials,https://dbom-project.readthedocs.io/en/latest/use-cases.html,v,
SBOM43,Why Software Bill of Materials (SBOM) Is Critical To Mitigating Software Supply Chain Risks,https://www.spiceworks.com/it-security/vulnerability-management/articles/sbom-critical-mitigate-software-supply-chain-risks/,v,v
SBOM44,"Government guide for supply chain security: The good, the bad and the ugly",https://www.helpnetsecurity.com/2022/09/06/government-guide-supply-chain-security/,v,
SBOM45,"What’s Trending with SBOMs, Developers, and Code Scanning",https://www.revenera.com/blog/software-composition-analysis/whats-trending-with-sboms-developers-and-code-scanning/,v,
SBOM46,"Software Bill of Materials (SBOMs): Good for Security, Tough to Maintain",https://www.devprojournal.com/software-development-trends/software-bill-of-materials-sboms-good-for-security-tough-to-maintain/,v,v
SBOM47,"Software Bill Of Materials: Formats, Use Cases, and Tools",https://fossa.com/blog/software-bill-of-materials-formats-use-cases-tools/,,v
SBOM48,SBOMs: Securing the Software Supply Chain,https://www.esecurityplanet.com/compliance/sbom/,v,v
SBOM49,SBOM – The Security Benefits of a Software Bill of Materials,https://www.novaleah.com/sbom-the-security-benefits-of-a-software-bill-of-materials/,,v
SBOM51,Understanding and Implementing a Software Bill of Materials,https://cloudsmith.com/blog/understanding-and-implementing-a-software-bill-of-materials/,,v
SBOM52,Three ways to ensure a successful transition to SBOM,https://www.scmagazine.com/perspective/policy/three-ways-to-ensure-a-successful-transition-to-sbom%EF%BF%BC,v,
SBOM53,CISA Executive Impels SBOM Adoption Following White House Memo,https://www.sdxcentral.com/articles/news/cisa-executive-impels-sbom-adoption-following-white-house-memo/2022/09/,v,
SBOM55,Scryb Provides State of Cybersecurity Webinar Highlights About SBoM,https://www.cybeats.com/news/relay-provides-state-of-cybersecurity-webinar-highlights-about-sbom-recording-posted-on-youtube,v,v
SBOM57,3 Ways a Dynamic SBOM Enhances Security,https://www.rezilion.com/blog/3-ways-a-dynamic-sbom-enhances-security/,,v
SBOM58,SBOM: the 1st Step Towards Defending Against SW Supply Chain Attacks,https://www.deepfactor.io/sbom-plus-appsec-observability-can-defend-against-software-supply-chain-attacks/,v,v
SBOM59,"Software Bill of Materials’ — Not just good for security, good for business",https://thehill.com/opinion/cybersecurity/564787-software-bill-of-materials-not-just-good-for-security-good-for-business/,,v
SBOM60,SBOMs: What they are and why organizations need them,https://venturebeat.com/security/sboms-what-they-are-and-why-organizations-need-them/,v,v
SBOM61,Research Shows Extent of Organizational SBOM Readiness – Techstrong TV,https://securityboulevard.com/2022/09/research-shows-extent-of-organizational-sbom-readiness-techstrong-tv/,,v
SBOM62,Are You Using the Best Tools for SBOMS to Improve Security?,https://blog.packagecloud.io/are-you-using-the-best-tools-for-sboms-to-improve-security/,,v
SBOM63,"SBOMS: THE PREMISE, THE PROMISE, THE PERIL",https://licens.io/2022/03/30/sboms-the-premise-the-promise-the-peril/,v,v
SBOM64,Taking Down Popular SBOM Myths,https://www.cpomagazine.com/cyber-security/taking-down-popular-sbom-myths/,,v
SBOM65,The White House wants new transparency into software components. The security benefits won't arrive quickly.,https://www.protocol.com/enterprise/biden-sbom-open-source-software,v,v
SBOM66,Why We Need a Software Bill of Materials Industry Standard,https://devops.com/why-we-need-a-software-bill-of-materials-industry-standard/,,v
SBOM67,SBOMs Now a Priority According to New Report on Open-Source Code Risks,https://www.lmgsecurity.com/sbom-now-a-priority-according-to-new-report-on-open-source-code-risks/,,v
SBOM68,Leveraging the SBOM for Continuous Cybersecurity,https://visualmodo.com/leveraging-the-sbom-for-continuous-cybersecurity/,,v
SBOM69,Relay Provides State of Cybersecurity Webinar Highlights About SBoM; Recording Posted on YouTube,https://www.globenewswire.com/news-release/2021/09/21/2300215/0/en/Relay-Provides-State-of-Cybersecurity-Webinar-Highlights-About-SBoM-Recording-Posted-on-YouTube.html,,v
SBOM70,Full-Stack Code Visibility With Prisma Cloud Software Bill of Materials (SBOM) Generation,https://www.paloaltonetworks.com/blog/prisma-cloud/full-stack-visibility-with-software-bill-of-materials-generation/,v,v
SBOM71,Looking Forward: SBOM to Improve Responsiveness For the Next Log4Shell,https://tcblog.protiviti.com/2022/01/26/looking-forward-sbom-to-improve-responsiveness-for-the-next-log4shell/,,v
SBOM72,SBOM and its role in cybersecurity,https://network-king.net/sbom-and-its-role-in-cybersecurity/,v,v
SBOM73,Generating Software Bills of Materials (SBOMs) with SPDX at Microsoft,https://devblogs.microsoft.com/engineering-at-microsoft/generating-software-bills-of-materials-sboms-with-spdx-at-microsoft/,,v
SBOM74,Why generating SBOM based on your code is far from enough,https://www.cidersecurity.io/blog/research/why-generating-sbom-based-on-your-code-is-far-from-enough/,v,v
SBOM75,What are Software Bill of Materials (SBOMs)?,https://www.deployhub.com/understanding-software-bill-of-materials-sboms/#challenges,v,v
SBOM76,The Future of SBOM,https://securityboulevard.com/2021/08/the-future-of-the-sbom/,v,v
SBOM77,Software Bill of Materials (SBOM) Pros & Cons,https://www.enterprisenetworkingplanet.com/security/software-bill-of-materials-sbom-pros-cons/,v,v
